Uncut forest. Site 1,,,,,,,,,,,
Point 1,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Castanopsis tribuloides,35,0,0,0,0,0,0,35,97.48,Oxyspora sp1,Ixonanthes khasiana
Linociera macrophylla,70,0,0,0,0,0,0,70,389.93,Oxyspora sp1,Ixonanthes khasiana
Citrus sp1,30,0,0,0,0,0,0,30,71.62,Oxyspora sp1,Oxyspora sp1
Ficus sp3,60,40,0,0,0,0,0,72.1110255093,413.8,Oxyspora sp1,
Helicia nilagiricaong,91,0,0,0,0,0,0,91,658.98,Oxyspora sp1,
Ixonanthes khasiana,50,0,0,0,0,0,0,50,198.94,Litsea sp1,
Ixonanthes khasiana,43,0,0,0,0,0,0,43,147.14,Litsea sp1,
Castanopsis kurzii,14,0,0,0,0,0,0,14,15.6,Litsea sp1,
Castanopsis kurzii,30,26,0,0,0,0,0,39.6988664826,125.41,,
Ixonanthes khasiana,38,0,0,0,0,0,0,38,114.91,,
Sterculia hamiltonii,25,22,0,0,0,0,0,33.3016516107,88.25,,
Citrus sp1,50,0,0,0,0,0,0,50,198.94,,
species9,35,0,0,0,0,0,0,35,97.48,,
Linociera macrophylla,47,0,0,0,0,0,0,47,175.79,,
Castanopsis tribuloides,75,0,0,0,0,0,0,75,447.62,,
,,,,,,,,,,,
Point 8,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Engelhardia sp1,75,0,0,0,0,0,0,75,447.62,Oxyspora sp1,Ixonanthes khasiana
species16,19,0,0,0,0,0,0,19,28.73,Oxyspora sp1,Ixonanthes khasiana
Altingia excelsa,37,0,0,0,0,0,0,37,108.94,Oxyspora sp1,Ixonanthes khasiana
Wendlandia paniculata,41,21,0,0,0,0,0,46.0651712251,168.86,Oxyspora sp1,Castanopsis tribuloides
Wendlandia paniculata,32,33,0,0,0,0,0,45.9673797382,168.15,Oxyspora sp1,Linociera macrophylla
Ixonanthes khasiana,25,0,0,0,0,0,0,25,49.74,Oxyspora sp1,
Ixonanthes khasiana,44,25,0,0,0,0,0,50.6063237155,203.8,,
Castanopsis tribuloides,101,0,0,0,0,0,0,101,811.77,,
Castanopsis tribuloides,280,0,0,0,0,0,0,280,6238.86,,
Ixonanthes khasiana,45,25,0,0,0,0,0,51.4781507049,210.88,,
Wendlandia paniculata,30,0,0,0,0,0,0,30,71.62,,
Ixonanthes khasiana,12,0,0,0,0,0,0,12,11.46,,
,,,,,,,,,,,
Point 9,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Ixonanthes khasiana,130,0,0,0,0,0,0,130,1344.86,Litsea sp1,Ixonanthes khasiana
Wendlandia paniculata,47,0,0,0,0,0,0,47,175.79,Ficus sp3,Ixonanthes khasiana
Wendlandia paniculata,48,0,0,0,0,0,0,48,183.35,Ixonanthes khasiana,Ixonanthes khasiana
Ixonanthes khasiana,90,0,0,0,0,0,0,90,644.58,Ixonanthes khasiana,
Wendlandia paniculata,47,0,0,0,0,0,0,47,175.79,Ixonanthes khasiana,
Ixonanthes khasiana,90,0,0,0,0,0,0,90,644.58,Ixonanthes khasiana,
Castanopsis tribuloides,44,0,0,0,0,0,0,44,154.06,Ixonanthes khasiana,
Ixonanthes khasiana,93,0,0,0,0,0,0,93,688.26,Ixonanthes khasiana,
Altingia excelsa,53,0,0,0,0,0,0,53,223.53,Ixonanthes khasiana,
Altingia excelsa,60,0,0,0,0,0,0,60,286.48,Ixonanthes khasiana,
Castanopsis kurzii,36,0,0,0,0,0,0,36,103.13,Ixonanthes khasiana,
,,,,,,,,,,Ixonanthes khasiana,
Point 10,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Ixonanthes khasiana,55,0,0,0,0,0,0,55,240.72,Cinnamomum tamala,Ixonanthes khasiana
Castanopsis sp1,53,0,0,0,0,0,0,53,223.53,Cinnamomum tamala,Ixonanthes khasiana
Ixonanthes khasiana,52,0,0,0,0,0,0,52,215.18,Cinnamomum tamala,Ixonanthes khasiana
Castanopsis sp1,30,0,0,0,0,0,0,30,71.62,Anplectrum assamicum,Ixonanthes khasiana
Ixonanthes khasiana,35,0,0,0,0,0,0,35,97.48,Anplectrum assamicum,Ixonanthes khasiana
Ixonanthes khasiana,32,0,0,0,0,0,0,32,81.49,Anplectrum assamicum,Wendlandia paniculata
Citrus sp1,39,0,0,0,0,0,0,39,121.04,,
Wendlandia paniculata,36,26,21,0,0,0,0,49.1222963633,192.02,,
Castanopsis kurzii,21,0,0,0,0,0,0,21,35.09,,
,,,,,,,,,,,
Point 11,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Wendlandia paniculata,39,23,0,0,0,0,0,45.2769256907,163.13,Cinnamomum tamala,Altingia excelsa
Altingia excelsa,110,95,0,0,0,0,0,145.3444185375,1681.07,Ficus sp3,
Castanopsis tribuloides,62,0,0,0,0,0,0,62,305.9,Castanopsis sp1,
Altingia excelsa,93,0,0,0,0,0,0,93,688.26,Ixonanthes khasiana,
Wendlandia paniculata,43,30,0,0,0,0,0,52.4309069157,218.76,,
Castanopsis tribuloides,30,0,0,0,0,0,0,30,71.62,,
Castanopsis tribuloides,35,0,0,0,0,0,0,35,97.48,,
Altingia excelsa,98,0,0,0,0,0,0,98,764.26,,
Cinnamomum tamala,32,0,0,0,0,0,0,32,81.49,,
,,,,,,,,,,,
Point 12,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Castanopsis tribuloides,130,70,0,0,0,0,0,147.6482306023,1734.78,Ixonanthes khasiana,Castanopsis tribuloides
Castanopsis tribuloides,140,0,0,0,0,0,0,140,1559.71,Ixonanthes khasiana,Ixonanthes khasiana
Ixonanthes khasiana,75,0,0,0,0,0,0,75,447.62,Ixonanthes khasiana,Ixonanthes khasiana
Castanopsis tribuloides,40,23,0,0,0,0,0,46.1410879802,169.42,Ixonanthes khasiana,
Castanopsis tribuloides,44,0,0,0,0,0,0,44,154.06,,
Ixonanthes khasiana,49,0,0,0,0,0,0,49,191.07,,
Altingia excelsa,42,0,0,0,0,0,0,42,140.37,,
Castanopsis kurzii,28,0,0,0,0,0,0,28,62.39,,
Ixonanthes khasiana,24,0,0,0,0,0,0,24,45.84,,
Ixonanthes khasiana,11,0,0,0,0,0,0,11,9.63,,
Castanopsis tribuloides,90,0,0,0,0,0,0,90,644.58,,
Castanopsis tribuloides,85,0,0,0,0,0,0,85,574.95,,
